municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 00:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 01:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 02:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 03:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 04:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 05:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 06:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 07:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 08:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 09:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 10:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 11:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 11:30:00.0;0,84
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 12:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 13:30:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 15:00:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 16:00:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 17:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 18:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 19:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 21:00:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 22:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-01 23:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 00:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 01:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 02:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 03:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 04:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 05:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 06:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 07:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 08:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 09:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 10:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 11:10:00.0;5,33
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 12:10:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 13:10:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 14:00:00.0;0,83
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 14:20:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 16:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 16:30:00.0;0,39
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 16:40:00.0;0,42
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 17:10:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 17:20:00.0;1,38
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 17:40:00.0;0,84
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 18:10:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 18:20:00.0;0,63
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 18:40:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 19:30:00.0;0,39
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 19:50:00.0;1,82
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 20:00:00.0;0,42
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 20:10:00.0;0,99
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 20:20:00.0;0,59
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 21:10:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 21:50:00.0;0,20
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-02 23:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-03 00:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-03 01:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-03 02:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-03 03:20:00.0;0,00
ALMIRANTE TAMANDARÉ;410040001A;PR;Centro;-25,31;-49,298;2025-09-03 04:20:00.0;0,00
