municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-01 15:50:00.0;4,20
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-07 20:50:00.0;0,60
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-09 20:30:00.0;0,20
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-09 21:00:00.0;0,20
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 00:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 01:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 02:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 03:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 04:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 05:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 06:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 07:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 08:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 09:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 10:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 11:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 12:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 13:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 14:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 15:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 16:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 17:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 18:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 19:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 20:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 21:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 22:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-10 23:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 00:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 01:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 02:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 03:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 04:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 05:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 06:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 07:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 08:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 09:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 10:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 11:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 12:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 13:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 14:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 15:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 16:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 17:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 18:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 19:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 20:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 21:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 22:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-11 23:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 00:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 01:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 02:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 03:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 04:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 05:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 06:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 07:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 08:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 09:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 10:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 11:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 12:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 13:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 14:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 15:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 16:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 17:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 18:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 19:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 20:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 21:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 22:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-12 23:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 00:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 01:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 02:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 03:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 04:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 05:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 06:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 07:00:00.0;0,00
CAMPO LARGO;410420401A;PR;Ferraria;-25,439368;-49,455266;2025-09-13 08:00:00.0;0,00
